Crab,Carapace Length,Weight,Egg mass color
A ,148.5,600,Dark orange
B,144.1,619,Dark orange
C,146.5,574,Dark orange
D,142.8,576,Reddish
E,153.5,740,Medium orange
F,145.7,592,Medium orange
G,149.1,630,Medium orange
H,153,645,Light orange
I,147.6,610,Light orange
J,150.8,613,Reddish
K,150.9,661,Reddish
L,140.7,535,Dark orange
M,145.9,607,Medium orange
N,148.3,590,Medium orange
O,144.2,531,Light orange
P,150,582,Light orange
Q,153.1,681,Light orange
R,150.6,565,Light orange
S,140.2,513,Dark orange
