sequence,species,n_individuals.per.Vial,lifeStage,Chamber,wellLocation,container,collectionDate,preservationDate,preservationMaterial,preservationExpression,collectionLocation,collectionCoordinates(LAT),collectionCoordinates(LON),collectionMaterial
1,brachyura_ssp.,12,zoea,N/A,N/A,2.5mL,6/9/21,6/23/21,EtOH,"""brachyura_ssp_peacrab(?)_vial#1_n=12_2021-06-23""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
2,brachyura_ssp.,12,zoea,N/A,N/A,2.5mL,6/9/21,6/23/21,EtOH,"""brachyura_ssp_peacrab(?)_vial#2_n=12_2021-06-23""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
4,brachyura_ssp.,1,zoeaMOLT,CH07,W6_55_05.01,2.5mL,6/9/21,6/22/21,EtOH,"""2021-06-22_Molt_CH07_2021-06-09_SEQ01_W6_55_05.01""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
5,brachyura_ssp.,1,zoeaMOLT,CH07,W6-55_03.C1,2.5mL,6/9/21,6/21/21,EtOH,"""2021-06-21_Molt_CH07_2021-06-09_CEQ01_W6-55_03.C1""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
6,brachyura_ssp.,1,instar,CH07,W6_55_02.02,2.5mL,6/9/21,6/21/21,EtOH,"""2021-06-21_Crab_CH07_2021-06-09_XX02_W6_55_02.02""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
7,brachyura_ssp.,1,zoeaMOLT,CH07,W6_55_02.02,2.5mL,6/9/21,6/21/21,EtOH,"""2021-06-21_Molt_CH07_2021-06-09_SEQ02_W6_55_02.02""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
8,brachyura_ssp.,1,instar,CH07,W6_55_01.02,2.5mL,6/9/21,6/21/21,EtOH,"""2021-XX-21_Crab_CH07_2021-06-09_SEQ02_W6_55_01.02""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
9,brachyura_ssp.,1,zoeaMOLT,CH07,W6_55_01.02,2.5mL,6/9/21,6/21/21,EtOH,"""2021-06-21_MoltPieces_CH07_2021-06-09_SEQ02_W6_55_01.02""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
10,brachyura_ssp.,1,instar,CH07,W6_48_01.03,2.5mL,6/9/21,6/21/21,EtOH,"""2021-06-21_Crab_CH07_2021-06-09_SEQ03_W6_48_01.03""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
11,brachyura_ssp.,1,zoeaMOLT,CH07,W6_48_01.03,2.5mL,6/9/21,6/21/21,EtOH,"""2021-06-21_MoltPieces_CH07_2021-06-09_SEQ0B_W6_48_01.03""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
